acquaintance;знакомый
competitor;соперник
accountant;бухгалтер
squirrel;белка
giraffe;жираф
entrance;вход
university;университет
restaurant;ресторан
pharmacy;аптека
sidewalk;тротуар
customs;таможня
garbage;мусор
windowsill;подоконник
curtain;занавеска, штора
faucet;водопроводный кран
chimney;дымовая труба
furniture;мебель
wardrobe;платяной шкаф
microwave;микроволновка
cutlet;котлета
porridge;каша
oatmeal;овсянка
noodles;лапша
strawberry;клубника, земляника
raspberry;малина
watermelon;арбуз
yogurt;йогурт

